Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),condition,suitable,meal_type,food_group,diet_preference,portion_basis
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,78.4,23.74,0.97,42.18,35.58,Inflammation,1,lunch,vegetable,veg,per_100g
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09,142.12,41.59,1.52,19.03,44.73,Inflammation,1,snack,fat,egg,per_100g
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67,Inflammation,1,lunch,vegetable,veg,per_100g
Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.82,1.19,51.99,36.36,0.47,42.93,44.72,Inflammation,1,lunch,dairy,veg,per_100g
Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.63,0.56,30.12,7.77,0.26,46.64,48.57,Inflammation,0,dinner,fat,veg,per_100g
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,42.22,8.35,0.31,36.07,43.47,Inflammation,0,dinner,fat,veg,per_100g
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,2.4,0.96,40.04,11.36,0.24,27.49,63.24,Inflammation,0,dinner,fruit,veg,per_100g
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,62.46,43.67,1.59,78.73,242.0,Inflammation,1,lunch,vegetable,veg,per_100g
Mooli bhujia,91.2,4.74,1.69,7.25,1.07,2.36,89.73,131.88,2.37,80.77,75.87,Inflammation,1,lunch,fat,veg,per_100g
Bathua bhujia,90.9,3.63,2.26,7.29,1.08,3.8,81.99,165.84,2.36,66.6,71.68,Inflammation,1,lunch,fat,veg,per_100g
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,118.05,31.54,0.98,12.69,19.01,Inflammation,1,snack,fat,veg,per_100g
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,123.98,29.82,0.95,26.91,34.04,Inflammation,1,snack,fat,veg,per_100g
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,81.25,22.77,0.68,8.11,32.76,Inflammation,1,lunch,cereal,veg,per_100g
Masala arbi,185.38,16.16,3.01,11.9,0.81,3.1,261.31,32.08,0.99,1.9,20.12,Inflammation,0,snack,cereal,veg,per_100g
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,63.65,19.63,0.63,27.86,82.49,Inflammation,1,lunch,fat,veg,per_100g
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,1.42,3.57,92.78,67.88,0.88,29.07,85.27,Inflammation,1,lunch,vegetable,veg,per_100g
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,0.26,1.75,40.42,27.61,0.56,18.14,90.04,Inflammation,0,dinner,fat,veg,per_100g
Beans foogath,105.06,3.26,2.03,9.22,1.7,4.15,81.22,44.2,0.95,6.36,86.05,Inflammation,1,lunch,vegetable,veg,per_100g
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,360.09,17.25,0.91,46.93,63.07,Inflammation,0,lunch,fat,veg,per_100g
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,33.68,12.79,0.33,21.72,55.34,Inflammation,0,dinner,fruit,veg,per_100g
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.8,1.44,37.07,8.11,0.43,30.3,35.57,Inflammation,0,dinner,fat,veg,per_100g
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,86.29,21.05,0.98,53.51,60.04,Inflammation,1,lunch,cereal,veg,per_100g
Vegetable jalfrezi,68.48,5.43,1.4,4.38,1.79,2.97,79.46,27.11,0.68,26.08,28.48,Inflammation,1,lunch,vegetable,veg,per_100g
Vegetables stir fry ,30.78,3.19,1.04,1.47,0.86,1.37,55.0,13.3,0.34,38.17,61.93,Inflammation,1,lunch,vegetable,veg,per_100g
Broccoli delight,40.7,2.34,2.49,2.48,1.08,2.83,59.26,26.99,0.71,79.0,97.64,Inflammation,1,lunch,protein,veg,per_100g
Dhansak (vegetarian),82.8,7.28,3.32,4.18,0.91,4.17,34.18,26.4,1.26,13.25,45.12,Inflammation,1,snack,cereal,veg,per_100g
Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.4,194.22,100.19,0.92,71.55,88.46,Inflammation,1,snack,fat,veg,per_100g
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.52,1.18,106.99,71.83,0.66,9.01,92.91,Inflammation,1,snack,protein,veg,per_100g
Ducheese potato,140.54,10.94,3.6,9.01,0.29,1.29,103.85,18.1,0.76,7.23,8.71,Inflammation,1,snack,dairy,veg,per_100g
Roast potatoes ,87.32,14.52,1.53,2.35,0.33,1.71,90.67,10.38,0.57,17.36,11.66,Inflammation,1,lunch,cereal,veg,per_100g
Stuffed baked potatoes ,100.2,11.03,3.82,4.39,0.4,1.31,92.09,25.72,0.81,18.77,23.25,Inflammation,1,snack,cereal,veg,per_100g
Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,182.12,55.25,0.87,37.47,49.55,Inflammation,1,snack,cereal,veg,per_100g
Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,4.62,11.43,0.55,23.82,16.5,Inflammation,1,lunch,cereal,veg,per_100g
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,90.21,65.49,0.9,48.37,234.02,Inflammation,0,dinner,vegetable,veg,per_100g
Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,118.98,84.97,0.36,39.68,37.46,Inflammation,1,snack,cereal,veg,per_100g
Cauliflower au gratin,145.9,9.13,4.45,10.2,3.01,1.44,164.96,119.69,0.57,50.15,69.55,Inflammation,0,snack,fat,veg,per_100g
Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,117.99,99.48,0.58,55.0,104.25,Inflammation,1,snack,vegetable,veg,per_100g
Spinach souffle ,150.18,6.27,7.36,10.52,0.89,1.44,244.07,133.69,2.15,30.28,172.47,Inflammation,0,snack,vegetable,veg,per_100g
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,1.97,0.55,110.12,18.13,0.55,6.0,41.14,Inflammation,1,snack,vegetable,egg,per_100g
Sour cream potato salad,121.9,9.05,2.89,8.13,0.84,1.21,102.66,23.25,0.9,37.28,52.99,Inflammation,1,lunch,vegetable,veg,per_100g
Tossed green salad,49.88,3.82,1.33,3.24,1.9,1.33,65.09,33.71,1.27,58.24,75.97,Inflammation,1,lunch,vegetable,veg,per_100g
Spring basket salad,160.46,11.61,3.36,11.3,1.46,3.09,26.02,45.65,0.85,70.79,109.53,Inflammation,0,snack,vegetable,veg,per_100g
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,141.73,68.49,0.52,6.74,21.36,Inflammation,1,lunch,vegetable,veg,per_100g
Chicken and tomato towers,100.55,2.36,6.9,6.99,1.21,1.14,76.02,17.54,0.77,56.69,49.49,Inflammation,1,snack,fat,non_veg,per_100g
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.8,74.2,37.14,0.87,28.75,37.7,Inflammation,1,snack,fruit,veg,per_100g
Tomato aspic,50.37,5.02,6.87,0.26,3.21,1.58,98.17,44.28,1.18,35.87,39.01,Inflammation,1,snack,protein,veg,per_100g
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,14.38,0.26,13.23,28.61,0.41,33.45,20.91,Inflammation,1,lunch,fruit,veg,per_100g
French dressing,733.77,3.68,0.32,79.65,3.01,0.22,261.13,6.98,0.48,6.42,1.95,Inflammation,0,dinner,fat,veg,per_100g
Mayonnaise without eggs,329.05,3.98,2.13,33.84,3.68,0.04,193.58,75.54,0.27,12.05,18.85,Inflammation,0,dinner,fat,egg,per_100g
Curd dressing ,78.8,8.03,5.59,2.9,7.57,0.22,204.62,194.59,0.18,5.34,39.4,Inflammation,1,snack,dairy,veg,per_100g
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,5.99,1.69,274.46,146.72,0.55,7.76,32.0,Inflammation,1,snack,vegetable,veg,per_100g
Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,5.48,1.04,129.14,130.11,0.33,7.11,31.7,Inflammation,1,snack,cereal,veg,per_100g
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,6.17,1.79,223.01,191.01,1.68,6.06,44.25,Inflammation,1,snack,cereal,veg,per_100g
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,3.97,1.39,126.57,142.96,1.61,32.9,160.65,Inflammation,1,snack,vegetable,veg,per_100g
Bathua raita,54.4,5.31,4.13,1.76,4.11,2.19,110.92,206.31,1.46,43.65,61.2,Inflammation,1,snack,cereal,veg,per_100g
Pineapple raita (Ananas ka raita),67.74,8.62,3.9,2.02,8.12,1.39,135.48,134.53,0.27,19.89,27.72,Inflammation,1,snack,fruit,veg,per_100g
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,10.11,1.0,135.43,133.23,0.31,5.73,27.58,Inflammation,1,snack,fruit,veg,per_100g
Mango raita (Aam ka raita),67.37,8.23,3.9,2.14,7.87,0.89,135.46,136.06,0.34,18.19,59.64,Inflammation,1,snack,fruit,veg,per_100g
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,6.71,3.0,135.94,136.93,0.28,108.7,33.5,Inflammation,1,snack,cereal,veg,per_100g
Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,8.51,0.71,135.64,134.52,0.26,10.55,22.88,Inflammation,1,snack,cereal,veg,per_100g
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.0,2.7,3.86,9.63,0.55,19.62,94.18,0.23,6.2,35.87,Inflammation,1,lunch,cereal,veg,per_100g
Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,10.12,0.63,20.99,95.61,0.24,8.06,26.95,Inflammation,1,lunch,cereal,veg,per_100g
Apple kheer (Seb ki kheer),81.3,11.34,2.14,3.18,10.71,0.51,15.86,75.67,0.18,5.82,16.4,Inflammation,1,lunch,fruit,veg,per_100g
Caramel custard (baked),122.7,14.95,5.11,5.01,14.92,0.0,44.78,90.59,0.53,3.02,35.21,Inflammation,0,snack,cereal,veg,per_100g
Vanilla ice cream without egg,228.67,14.21,2.69,18.15,13.45,0.0,23.97,81.27,0.1,2.13,9.67,Inflammation,0,lunch,fat,egg,per_100g
Vanilla ice cream with egg,214.85,11.71,4.16,17.02,11.69,0.0,37.72,77.42,0.34,2.13,21.98,Inflammation,0,lunch,fat,egg,per_100g
Strawberry ice cream,215.61,12.26,4.15,16.96,11.6,0.0,37.62,77.08,0.34,2.13,22.0,Inflammation,0,lunch,fat,veg,per_100g
Chocochip ice cream,241.45,16.75,4.23,17.93,16.08,0.0,34.84,73.22,0.51,2.13,24.1,Inflammation,0,lunch,fat,veg,per_100g
Choconut ice cream,273.96,23.13,5.04,18.49,21.02,0.51,29.83,67.38,0.89,2.17,29.32,Inflammation,0,lunch,cereal,veg,per_100g
Pear chocholate sunday,183.49,15.02,2.08,13.11,14.41,0.07,16.26,56.67,0.24,3.34,12.72,Inflammation,0,lunch,cereal,veg,per_100g
Chocolate sauce,263.2,43.21,1.91,10.39,42.06,0.0,2.8,18.8,1.13,0.0,0.63,Inflammation,0,lunch,cereal,veg,per_100g
Coffee ice cream,150.62,14.09,3.15,9.43,13.35,0.0,42.09,95.72,0.15,2.16,7.18,Inflammation,0,beverage,beverage,veg,per_100g
Coffee pear alaska,203.99,19.36,2.88,13.22,16.88,0.15,51.11,60.61,0.22,3.48,13.85,Inflammation,0,beverage,beverage,veg,per_100g
Crunchy butterscotch,277.32,19.92,3.11,20.99,17.73,0.47,22.24,72.26,0.26,2.13,18.72,Inflammation,0,lunch,dairy,veg,per_100g
Peach melba ice cream,200.85,16.31,2.06,14.51,13.35,0.06,17.92,60.55,0.11,2.99,11.79,Inflammation,0,lunch,cereal,veg,per_100g
Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,14.19,0.26,31.54,56.34,0.16,4.23,10.77,Inflammation,0,lunch,fruit,veg,per_100g
Grape and orange whip,57.39,6.72,1.41,2.62,5.66,0.97,14.36,17.4,0.53,34.86,16.85,Inflammation,1,lunch,fruit,veg,per_100g
Honey banana cream,125.49,13.64,2.78,6.68,10.51,0.7,15.65,43.52,0.23,16.68,28.45,Inflammation,1,lunch,fruit,veg,per_100g
Raspberry bavarian cream,150.1,17.82,3.34,7.88,15.3,2.19,24.59,26.4,0.31,21.41,20.79,Inflammation,1,snack,cereal,veg,per_100g
Fruit delight,107.09,9.11,2.09,7.09,9.03,0.09,17.27,71.69,0.15,7.74,19.39,Inflammation,1,lunch,fruit,veg,per_100g
Creamy chocolate mousse,230.52,9.53,6.85,18.16,8.99,0.0,48.64,45.25,0.96,0.75,33.07,Inflammation,0,lunch,fat,veg,per_100g
Cold lemon souffle,169.87,15.62,5.89,9.78,13.88,0.0,46.35,55.03,0.53,8.65,31.24,Inflammation,1,snack,cereal,veg,per_100g
Cold orange souffle,173.19,16.27,5.94,9.82,14.42,0.11,46.53,55.45,0.57,10.08,33.8,Inflammation,1,snack,fruit,veg,per_100g
Cold pineapple souffle,181.22,16.85,6.23,10.39,14.99,0.0,49.38,57.13,0.54,1.88,30.3,Inflammation,0,snack,fruit,veg,per_100g
Cold vanilla souffle,179.54,16.29,6.22,10.32,14.49,0.0,49.09,62.47,0.52,1.3,30.71,Inflammation,0,snack,cereal,veg,per_100g
Cold chocolate souffle,187.53,17.22,6.37,10.86,15.31,0.0,47.77,62.91,0.68,1.3,32.45,Inflammation,0,snack,cereal,veg,per_100g
Stewed fruit (with pear),74.32,18.22,0.25,0.32,17.67,2.84,1.7,5.94,0.21,2.48,4.33,Inflammation,0,lunch,fruit,veg,per_100g
Apricot fool,240.79,33.64,1.54,11.35,21.29,1.0,8.28,26.37,0.73,1.47,11.46,Inflammation,0,lunch,cereal,veg,per_100g
Pavlova,200.6,21.84,1.84,12.29,20.37,0.06,26.34,23.0,0.25,23.78,19.18,Inflammation,0,lunch,cereal,veg,per_100g
Apple crumb pudding,220.85,35.17,1.54,8.87,27.69,1.33,59.36,38.49,1.05,3.6,7.86,Inflammation,0,lunch,fruit,veg,per_100g
Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,19.72,0.29,100.32,67.76,0.85,1.81,25.81,Inflammation,0,beverage,beverage,veg,per_100g
Hot lemon souffle,155.25,16.31,5.29,7.93,12.07,0.14,47.75,48.77,0.55,12.93,20.7,Inflammation,1,snack,cereal,veg,per_100g
Gulab jamun with milk powder,471.15,28.24,0.85,40.15,27.04,0.05,67.28,26.13,0.13,0.41,4.56,Inflammation,0,dinner,dairy,veg,per_100g
Chum chum,130.05,28.27,1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2,Inflammation,0,lunch,cereal,veg,per_100g
Dil bahar,130.05,28.27,1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2,Inflammation,0,lunch,cereal,veg,per_100g
Rasbhari,130.05,28.27,1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2,Inflammation,0,lunch,cereal,veg,per_100g
Rajbogh,133.7,28.16,1.71,2.28,27.66,0.11,16.57,63.23,0.17,2.69,12.02,Inflammation,0,lunch,cereal,veg,per_100g
Rasgulla,118.64,25.79,1.38,1.75,25.4,0.01,15.19,57.09,0.12,2.69,10.2,Inflammation,0,lunch,cereal,veg,per_100g
Rasmalai,135.55,29.17,1.61,2.11,28.71,0.07,16.46,62.31,0.15,2.69,11.29,Inflammation,0,lunch,cereal,veg,per_100g
Khoa coconut burfi,411.45,36.55,9.98,26.01,35.6,4.07,31.14,309.84,2.1,0.0,26.6,Inflammation,0,dinner,cereal,veg,per_100g
Danedar burfi,102.68,12.33,3.24,4.72,11.98,0.09,23.31,107.53,0.24,3.36,9.75,Inflammation,0,snack,cereal,veg,per_100g
Semolina burfi (Suji/Rava burfi),348.67,47.1,3.47,16.86,28.67,2.8,8.33,14.86,1.01,0.0,3.21,Inflammation,0,dinner,cereal,veg,per_100g
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,16.11,4.29,8.95,21.76,0.79,3.02,11.48,Inflammation,0,lunch,cereal,veg,per_100g
Khoa ladoo,396.02,34.43,12.21,24.09,33.37,3.08,31.71,358.61,2.25,0.02,27.31,Inflammation,0,dinner,cereal,veg,per_100g
Wheat and gram flour ladoo (Atta besan ladoo),501.7,50.5,9.38,29.86,18.46,6.01,27.06,35.27,2.39,0.0,14.55,Inflammation,0,dinner,cereal,veg,per_100g
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,19.79,4.27,3.93,18.04,1.81,0.03,4.01,Inflammation,0,dinner,cereal,veg,per_100g
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.5,4.66,36.48,5.54,17.93,150.73,4.8,0.0,23.64,Inflammation,0,lunch,cereal,veg,per_100g
Murmura chikki,253.82,59.59,2.12,0.32,48.27,0.37,15.03,63.3,3.3,0.0,2.16,Inflammation,0,lunch,cereal,veg,per_100g
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,1.58,1.44,99.22,11.06,0.42,1.18,14.65,Inflammation,0,dinner,fat,veg,per_100g
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,0.27,1.34,120.9,8.58,0.47,3.84,12.67,Inflammation,0,dinner,fat,veg,per_100g
Chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.22,0.96,103.23,9.08,0.51,0.14,11.46,Inflammation,0,dinner,fat,non_veg,per_100g
Fish pakora/pakoda,577.03,4.55,5.97,59.52,0.22,0.96,112.24,12.65,0.63,0.14,11.02,Inflammation,0,dinner,fat,non_veg,per_100g
Paneer cutlet,672.2,7.62,4.59,69.38,2.52,0.39,91.45,107.86,0.48,1.81,38.34,Inflammation,0,dinner,fat,veg,per_100g
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97,0.1,0.54,48.17,5.43,0.38,13.39,9.09,Inflammation,0,dinner,fat,veg,per_100g
Poshtik cutlet,496.45,7.39,2.0,50.94,0.32,1.35,57.11,14.94,0.69,16.42,43.66,Inflammation,0,dinner,fat,veg,per_100g
Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25,0.2,0.58,79.4,16.22,0.56,11.07,22.05,Inflammation,0,dinner,fat,egg,per_100g
Minced meat cutlet,531.86,5.61,5.1,54.47,0.31,0.4,95.81,20.82,0.63,1.81,8.86,Inflammation,0,dinner,fat,non_veg,per_100g
Vegetable samosa,443.11,13.22,2.21,42.22,0.74,1.52,107.7,10.37,0.6,10.06,12.39,Inflammation,0,dinner,vegetable,veg,per_100g
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,9.7,4.39,76.32,0.16,2.27,65.87,10.6,0.96,0.0,13.31,Inflammation,0,dinner,fat,veg,per_100g
Masala urad dal vada,703.78,9.93,4.32,71.62,0.7,2.71,61.49,11.87,1.0,2.05,15.89,Inflammation,0,dinner,fat,veg,per_100g
Khaman (dhokla),54.73,5.36,1.92,2.8,1.36,1.49,124.1,5.31,0.58,2.6,19.33,Inflammation,0,lunch,cereal,veg,per_100g
Instant dhokla,207.11,24.11,7.66,9.37,6.86,3.57,763.98,66.58,1.05,2.7,22.87,Inflammation,0,lunch,cereal,veg,per_100g
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,9.11,1.05,0.32,6.31,2.14,209.42,23.63,1.08,3.65,2.29,Inflammation,0,lunch,cereal,veg,per_100g
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36,5.48,2.63,183.98,47.59,2.06,4.07,4.94,Inflammation,0,lunch,cereal,veg,per_100g
Coriander chutney (Hare dhaniye ki chutney),42.86,8.16,1.38,0.37,5.5,2.47,186.64,39.8,1.63,4.24,3.57,Inflammation,0,lunch,cereal,veg,per_100g
Gooseberry chutney (Amla chutney),43.02,8.83,1.44,0.62,0.06,4.58,215.09,46.4,1.22,4.84,2.23,Inflammation,0,lunch,cereal,veg,per_100g
Walnut chutney (Akhrot ki chutney),370.43,8.91,9.44,33.46,4.4,3.04,160.0,119.57,1.77,1.33,4.63,Inflammation,0,dinner,fat,veg,per_100g
Saunth/Sonth chutney with ginger,84.22,20.62,0.28,0.11,19.04,0.31,222.53,15.17,0.7,0.0,0.51,Inflammation,0,lunch,cereal,veg,per_100g
Gun powder chutney,312.34,47.65,21.55,2.67,1.16,13.95,195.67,68.87,5.14,0.02,14.27,Inflammation,0,dinner,cereal,veg,per_100g
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,36.72,12.88,15.88,10.41,13.16,321.07,73.55,5.44,0.15,10.69,Inflammation,0,dinner,cereal,veg,per_100g
Curd mint dip ,76.13,9.11,4.82,2.44,7.83,0.77,222.77,172.79,0.82,3.28,7.82,Inflammation,0,snack,dairy,veg,per_100g
Curd vegetable dip,56.21,6.04,3.88,1.94,5.42,0.63,132.48,129.58,0.37,4.53,5.78,Inflammation,0,snack,vegetable,veg,per_100g
Mayonnaise vegetable dip,241.27,4.8,3.01,23.44,4.39,0.41,119.58,91.42,0.28,4.58,7.03,Inflammation,0,lunch,vegetable,veg,per_100g
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31,1.79,2.1,222.22,76.75,1.15,7.12,17.26,Inflammation,1,snack,cereal,veg,per_100g
Tomato sandwich (grilled),189.92,21.29,6.26,9.39,2.58,1.91,420.6,150.9,0.88,8.91,16.85,Inflammation,1,snack,cereal,veg,per_100g
French sandwich (toasted),186.75,14.82,6.82,11.51,1.82,1.37,274.68,100.73,1.24,6.66,29.24,Inflammation,0,snack,cereal,veg,per_100g
Peanut butter cucumber sandwich,243.33,29.76,9.04,10.56,2.91,3.35,460.09,95.35,1.32,0.92,16.53,Inflammation,0,lunch,cereal,veg,per_100g
Mint and peanut sandwich,273.59,31.83,7.18,13.88,2.78,3.67,453.3,114.99,1.7,1.75,15.62,Inflammation,0,lunch,cereal,veg,per_100g
Spicy chutney sandwich,249.58,34.03,8.74,9.58,3.96,3.73,315.4,154.53,1.51,0.21,23.71,Inflammation,0,lunch,cereal,veg,per_100g
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77,1.77,1.53,287.39,78.45,1.12,0.0,12.99,Inflammation,0,lunch,protein,non_veg,per_100g
Rolled sandwich,293.07,34.69,6.45,15.29,2.7,2.07,321.57,117.68,1.23,0.91,5.61,Inflammation,0,lunch,cereal,veg,per_100g
Ribbon sandwich,239.26,24.76,6.26,13.37,4.66,2.92,382.11,157.85,1.05,4.55,10.44,Inflammation,0,lunch,cereal,veg,per_100g
Checker board sandwich,348.37,25.94,7.37,24.65,2.9,2.22,358.25,188.02,1.11,0.05,8.52,Inflammation,0,lunch,cereal,veg,per_100g
Submarine sandwich,216.92,13.6,6.09,15.32,2.5,1.24,254.28,72.35,1.23,21.43,36.34,Inflammation,0,lunch,cereal,veg,per_100g
Cheese open sandwich,274.07,28.42,9.84,14.24,3.24,1.74,504.41,256.25,1.22,0.6,12.93,Inflammation,0,lunch,cereal,veg,per_100g
Sunset and sunrise open sandwich,241.31,18.89,8.58,15.14,1.95,1.39,381.29,114.07,1.28,3.86,26.36,Inflammation,0,lunch,cereal,veg,per_100g
Danish luncheon sandwich,193.82,17.77,9.03,10.1,1.13,1.52,365.63,77.13,1.27,2.35,25.88,Inflammation,0,snack,cereal,veg,per_100g
Chicken and corn open sandwich,188.16,19.21,8.63,8.83,2.48,1.67,226.72,65.13,0.8,2.12,14.16,Inflammation,0,snack,protein,non_veg,per_100g
Chocolate sponge cake,239.86,39.54,9.13,5.51,25.0,0.52,61.47,33.99,1.81,0.0,19.87,Inflammation,0,lunch,cereal,veg,per_100g
Chocolate swiss roll,306.08,26.97,6.01,19.76,18.83,0.29,44.53,42.79,1.08,0.19,8.91,Inflammation,0,dinner,cereal,veg,per_100g
Lemon curd filling,225.62,26.41,3.43,12.58,26.13,0.0,34.9,16.39,0.6,0.64,3.21,Inflammation,0,lunch,dairy,veg,per_100g
Jam filling,184.62,46.15,0.0,0.0,41.54,0.0,0.0,0.0,0.0,0.0,0.0,Inflammation,0,lunch,cereal,veg,per_100g
Chocolate pastry,243.37,32.24,7.05,10.12,22.34,0.32,46.54,50.7,1.44,0.25,17.22,Inflammation,0,lunch,cereal,veg,per_100g
Assorted pastry,230.74,31.99,6.78,8.91,19.7,0.43,49.99,47.2,0.94,0.25,15.61,Inflammation,0,lunch,cereal,veg,per_100g
Orange gateau,178.05,27.01,4.78,6.02,18.33,0.68,80.41,41.69,0.89,10.49,15.12,Inflammation,1,beverage,beverage,veg,per_100g
Black forest gateau,217.82,30.57,5.94,8.58,21.97,0.28,79.37,46.79,1.09,143.5,10.98,Inflammation,1,beverage,beverage,veg,per_100g
Lemon cake,373.85,43.1,5.29,20.63,25.84,0.62,151.29,32.77,0.91,2.44,9.0,Inflammation,0,dinner,cereal,veg,per_100g
Dundee cake,396.62,41.4,7.78,22.7,21.3,1.81,182.74,58.11,1.57,0.07,9.22,Inflammation,0,dinner,cereal,veg,per_100g
Victorian sandwich cake,373.09,44.74,5.18,19.83,28.18,0.59,145.28,36.25,0.86,0.08,8.66,Inflammation,0,lunch,cereal,veg,per_100g
Chocolate eggless cake,312.01,43.45,6.66,13.19,34.2,0.32,196.61,185.38,0.95,2.67,14.7,Inflammation,0,dinner,cereal,egg,per_100g
Orange eggless cake,355.62,52.65,7.16,13.82,37.87,0.56,226.28,205.84,0.52,3.47,13.72,Inflammation,0,dinner,fruit,egg,per_100g
Chocolate glace icing,436.29,62.43,3.22,20.8,59.88,0.0,8.66,26.75,2.04,0.0,1.52,Inflammation,0,dinner,cereal,veg,per_100g
Butter icing,500.72,71.64,0.19,25.37,71.64,0.0,5.98,12.48,0.14,0.0,0.0,Inflammation,0,dinner,dairy,veg,per_100g
Chocolate butter icing,469.59,61.72,3.21,24.77,59.82,0.0,4.99,31.87,1.85,0.0,1.22,Inflammation,0,dinner,dairy,veg,per_100g
Almond biscuit (Badam ke biscuit),407.74,52.14,6.25,19.7,22.19,1.5,151.76,44.05,1.11,0.03,2.28,Inflammation,0,dinner,cereal,veg,per_100g
Orange biscuit,354.78,62.11,3.63,11.01,42.63,0.75,259.14,20.35,0.77,1.36,5.1,Inflammation,0,dinner,fruit,veg,per_100g
Gingerman biscuit,357.43,55.24,6.26,12.73,21.64,2.0,918.57,41.35,1.59,3.65,4.91,Inflammation,0,dinner,cereal,veg,per_100g
Coffee drops,443.07,43.06,7.57,27.16,18.27,1.88,88.17,57.09,1.48,0.03,2.72,Inflammation,0,beverage,beverage,veg,per_100g
Christmas biscuit,406.07,60.97,5.67,15.88,26.01,2.17,127.36,29.07,1.2,0.0,2.42,Inflammation,0,dinner,cereal,veg,per_100g
Christmas wreath biscuit,386.05,58.07,5.43,15.01,24.89,2.28,120.2,29.71,1.21,2.28,2.53,Inflammation,0,dinner,cereal,veg,per_100g
